ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
110001,202112,4318,11668,2861,8954,632,2126,988,3125,1620,5251
110002,202112,14454,36161,10417,29374,2719,8176,2623,7495,5342,15671
110003,202112,678,1960,512,1614,131,426,160,464,291,890
110004,202112,13487,33704,8976,25911,1789,5559,2727,7737,4516,13296
110005,202112,2697,6809,1875,5485,401,1258,484,1522,885,2780
110006,202112,1785,4885,1096,3435,165,564,217,652,382,1216
110007,202112,1403,3512,896,2654,288,889,210,767,498,1656
110008,202112,3751,9484,2733,8045,348,943,1709,5507,2057,6450
110009,202112,4819,12905,3032,9642,640,2168,1098,3493,1738,5661
110010,202112,8509,25333,6303,21233,1327,4472,2953,11007,4280,15479
110011,202112,7898,20220,5340,15692,1655,5199,732,2233,2387,7432
110012,202112,17134,41548,10369,29954,2274,7057,1117,3362,3391,10419
110013,202112,5897,16309,4073,12738,1539,5182,432,1482,1971,6664
110014,202112,4201,10736,2840,8143,558,1701,1221,3398,1779,5099
110015,202112,6184,15428,3783,10895,743,2382,1033,2619,1776,5001
110018,202112,4127,10125,2433,7200,418,1434,606,1809,1024,3243
110020,202112,84463,193392,61495,162321,14949,40039,23003,68308,37952,108347
110025,202112,5687,13340,3802,10156,702,2008,1774,4652,2476,6660
110026,202112,579,1421,411,1171,94,294,151,475,245,769
110028,202112,7759,18959,4737,13625,1066,3408,582,1662,1648,5070
110029,202112,1701,4068,1005,2870,207,601,374,1091,581,1692
110030,202112,14288,32145,8711,23832,1813,5789,1158,3463,2971,9252
110032,202112,3700,10006,2217,6915,695,2199,350,1197,1045,3396
110033,202112,3964,11845,2973,9998,986,3380,723,2735,1709,6115
110034,202112,3496,7987,2300,6349,753,2384,644,1958,1397,4342
110037,202112,1782,5095,1289,4191,300,975,523,1756,823,2731
110040,202112,3228,8614,2316,6973,582,1885,697,2019,1279,3904
110045,202112,5201,14407,3727,11723,991,3376,1134,3729,2125,7105
110050,202112,1895,4985,1284,3907,398,1341,153,422,551,1763
110060,202112,965,2762,646,2013,165,539,149,450,314,989
110070,202112,1695,5047,1198,3941,319,1124,245,747,564,1871
110080,202112,7032,15829,5275,13721,1121,2824,2845,8056,3966,10880
110090,202112,631,1678,430,1317,81,260,123,383,204,643
110092,202112,1378,3828,963,3050,199,629,429,1465,628,2094
110094,202112,3095,8803,2238,7136,841,2892,213,721,1054,3613
110100,202112,1827,5185,1412,4395,424,1399,490,1567,914,2966
110110,202112,1922,5012,1361,4131,453,1465,255,872,708,2337
110120,202112,1400,3860,1046,3176,241,794,353,1055,594,1849
110130,202112,3060,7378,1767,4981,133,397,175,423,308,820
110140,202112,2385,6697,1674,5273,362,1211,517,1640,879,2851
110143,202112,1447,3843,1021,3021,316,955,171,516,487,1471
110145,202112,1021,2589,601,1788,149,449,198,631,347,1080
110146,202112,527,1331,369,1080,72,178,177,556,249,734
110147,202112,820,2050,522,1487,64,202,214,532,278,734
110148,202112,1027,2733,496,1579,122,448,59,180,181,628
110149,202112,3548,9128,2347,7190,798,2582,460,1534,1258,4116
110150,202112,2966,7185,1889,5570,581,1937,375,1288,956,3225
110155,202112,843,2385,596,1803,120,403,212,573,332,976
110160,202112,1559,4608,1133,3677,330,1095,239,800,569,1895
110170,202112,2272,5634,1442,4109,241,742,773,2090,1014,2832
110175,202112,1954,5336,1347,4156,257,781,479,1565,736,2346
110180,202112,1575,4112,1101,3179,134,418,583,1643,717,2061
120001,202112,3603,10040,2910,9009,502,1654,1764,5575,2266,7229
120005,202112,2048,7542,1865,7285,162,635,1457,5876,1619,6511
120010,202112,5661,16010,4810,14783,440,1258,3571,11313,4011,12571
120013,202112,2465,7934,2166,7567,523,1741,1212,4628,1735,6369
120017,202112,2790,8226,2407,7646,411,1264,1444,4924,1855,6188
120020,202112,16270,58904,14960,56463,955,3847,12059,45806,13014,49653
120025,202112,3438,9064,2782,8290,339,1010,2000,6090,2339,7100
120030,202112,6747,25834,6253,24940,388,1747,4854,19664,5242,21411
120032,202112,1878,7944,1790,7785,88,547,1544,6590,1632,7137
120033,202112,4464,15604,4160,15052,83,477,3657,13087,3740,13564
120034,202112,2944,10060,2532,9377,99,533,2113,7723,2212,8256
120035,202112,4095,15023,3857,14612,231,998,3227,12168,3458,13166
120038,202112,2938,8865,2488,8142,452,1511,1476,4894,1928,6405
120039,202112,2137,8886,1994,8612,108,650,1625,7006,1733,7656
120040,202112,51088,148850,43692,137279,5732,18425,27724,88094,33456,106519
120042,202112,3695,12780,3417,12294,145,637,2888,10310,3033,10947
120043,202112,1619,6160,1432,5898,34,214,1313,5410,1347,5624
120045,202112,6454,16157,5535,15103,385,1138,4597,12501,4982,13639
120050,202112,10018,34451,9171,33208,372,1652,7694,28041,8066,29693
120060,202112,10144,38096,9281,36852,334,1967,8118,32011,8452,33978
120070,202112,3546,10636,3065,9977,292,851,2184,7461,2476,8312
120080,202112,4804,14198,4269,13428,487,1468,3120,10128,3607,11596
130002,202112,3511,12615,3144,12093,259,749,2637,10565,2896,11314
130006,202112,2716,9400,2252,8631,333,1146,1450,6005,1783,7151
130008,202112,2855,9636,2508,9145,79,310,2142,7848,2221,8158
130010,202112,4137,11827,3472,11066,115,282,3109,10096,3224,10378
130014,202112,3805,10495,2936,9138,466,1475,1805,5757,2271,7232
130020,202112,3186,11992,2838,11479,96,553,2407,9717,2503,10270
130030,202112,11972,35049,10913,33800,357,799,9874,31167,10231,31966
130040,202112,4498,12641,3717,11621,460,1192,2761,9027,3221,10219
130050,202112,8102,28298,6787,26590,238,884,6077,24274,6315,25158
130060,202112,8250,31392,7056,29846,359,1864,5937,25026,6296,26890
130063,202112,6960,22082,6188,21220,192,794,5642,19423,5834,20217
130068,202112,4163,13476,3502,12569,156,782,2775,9865,2931,10647
130070,202112,8070,21644,6602,20054,415,984,5289,16849,5704,17833
130080,202112,7975,26939,6994,25829,241,1114,6039,22774,6280,23888
130083,202112,2985,9324,2651,8915,176,593,2147,7481,2323,8074
130090,202112,3909,11612,3471,11084,39,163,3166,10282,3205,10445
130100,202112,8377,24725,7064,23351,125,259,6546,22299,6671,22558
130110,202112,8864,24310,7180,22228,1126,2856,4945,16711,6071,19567
130115,202112,5383,16614,4622,15744,119,307,4063,14194,4182,14501
130120,202112,14436,49940,12675,47583,1147,4466,10086,38492,11233,42958
130130,202112,6113,17933,4685,16075,520,1713,3356,11863,3876,13576
130140,202112,7620,25805,6622,24669,299,1255,5617,21148,5916,22403
130150,202112,3948,14066,3713,13801,60,365,3444,12823,3504,13188
130160,202112,5826,19172,4992,18117,386,1016,4160,15845,4546,16861
130165,202112,3390,12474,3179,12226,106,467,2881,11194,2987,11661
130170,202112,12614,34928,10153,32117,714,2143,8312,27016,9026,29159
130180,202112,4617,14781,4384,14521,43,202,4226,13985,4269,14187
130185,202112,20435,47876,16756,43921,1491,2288,13445,38428,14936,40716
130190,202112,20538,64678,16530,58860,1747,5511,11918,44568,13665,50079
130195,202112,2682,9253,2190,8601,90,353,1835,7293,1925,7646
130200,202112,3047,7823,2500,7124,97,270,2165,6183,2262,6453
130210,202112,1404,5182,1256,5000,101,542,1018,3971,1119,4513
130220,202112,2597,8199,2178,7692,90,300,1901,6872,1991,7172
130230,202112,5276,20241,4594,19290,185,1095,4015,16874,4200,17969
130240,202112,13602,38435,11071,35205,140,729,10112,32194,10252,32923
130250,202112,27937,80490,23907,75911,1667,4036,19502,64761,21169,68797
130255,202112,5159,16040,4428,14779,169,574,3606,12121,3775,12695
130260,202112,282881,745653,229841,672226,62665,189457,103656,322186,166321,511643
130270,202112,10608,35409,8746,32546,1762,5996,5056,20353,6818,26349
130280,202112,3798,14632,3486,14280,91,418,3237,13421,3328,13839
130290,202112,15088,46650,13216,44324,834,2398,11266,38878,12100,41276
130300,202112,5263,17101,4724,16392,151,769,4106,14260,4257,15029
130310,202112,7197,22019,6245,20833,336,1203,5261,17704,5597,18907
130320,202112,3716,11808,3101,10993,459,1556,2188,8123,2647,9679
130330,202112,4983,15155,4008,14003,215,833,3378,11881,3593,12714
130340,202112,26395,75518,22697,71351,1882,3945,18859,62335,20741,66280
130350,202112,4249,14810,3828,14285,132,620,3377,12594,3509,13214
130353,202112,8473,21663,6829,19598,983,2547,4688,14282,5671,16829
130356,202112,5731,17296,4763,15810,915,2832,2751,9866,3666,12698
130360,202112,3271,10274,2724,9572,69,247,2466,8701,2535,8948
130370,202112,5931,23400,5076,22212,337,1800,3936,17350,4273,19150
130380,202112,7656,31741,7103,30927,420,2276,5992,25988,6412,28264
130390,202112,6696,26427,5973,25286,556,2465,4781,20519,5337,22984
130395,202112,2636,8056,2256,7458,209,687,1743,5832,1952,6519
130400,202112,3060,9001,2621,8426,124,296,2324,7673,2448,7969
130406,202112,11393,38246,9545,36004,1904,6733,6166,24828,8070,31561
130410,202112,4718,15805,4035,14694,1150,4319,1885,7160,3035,11479
130420,202112,15262,50477,12736,47342,1006,3995,9846,37214,10852,41209
130423,202112,4743,14326,4152,13649,198,674,3647,12006,3845,12680
130426,202112,2944,11276,2713,10996,45,227,2528,10337,2573,10564
130430,202112,4640,12463,3979,11604,171,495,3474,10123,3645,10618
130440,202112,5466,16246,4594,15206,81,298,4290,14306,4371,14604
140002,202112,2458,7035,2142,6656,105,359,1791,5678,1896,6037
140005,202112,3415,9325,2966,8804,233,580,2411,7465,2644,8045
140010,202112,57461,149955,45912,132869,11209,34311,18550,55242,29759,89553
140015,202112,4144,11690,3519,10939,294,797,2954,9515,3248,10312
140017,202112,5504,14012,4857,13208,371,792,3988,11234,4359,12026
140020,202112,5474,15315,4713,14337,268,950,3857,11716,4125,12666
140023,202112,2674,7638,2177,6936,205,647,1654,5398,1859,6045
140028,202112,2014,5118,1691,4718,81,252,1359,3808,1440,4060
140030,202112,5632,13923,5006,13205,310,551,4438,12079,4748,12630
140040,202112,2726,10328,2517,10053,84,504,2316,9116,2400,9620
140045,202112,2684,9699,2216,9056,388,1335,1376,6335,1764,7670
140047,202112,6695,18366,5571,16739,626,1904,3938,12071,4564,13975
140050,202112,1578,4517,1339,4181,148,415,965,3164,1113,3579
140060,202112,1812,4613,1562,4267,121,304,1275,3563,1396,3867
140070,202112,2029,10190,1959,10057,107,763,1685,8525,1792,9288
150010,202112,48992,118998,44189,112844,1160,2438,39575,101196,40735,103634
150013,202112,2111,5091,1783,4734,148,263,1415,4017,1563,4280
150020,202112,14867,43519,13671,41938,1949,4777,10421,33820,12370,38597
150030,202112,8919,33322,8079,32317,470,1699,7011,28616,7481,30315
150034,202112,4646,10736,3785,9685,286,651,3111,8161,3397,8812
150040,202112,17546,43304,15369,40911,1266,1761,12941,37378,14207,39139
150050,202112,7636,24963,6966,24078,127,500,6448,22515,6575,23015
150060,202112,23713,62141,19089,55282,2684,7826,12539,37046,15223,44872
150070,202112,8042,27419,7059,26266,185,793,6480,24254,6665,25047
150080,202112,98799,216781,80766,192197,21339,56091,18804,55777,40143,111868
150085,202112,8741,23785,7903,22814,149,379,7367,21513,7516,21892
150090,202112,11025,36929,10361,35693,789,2449,8479,29557,9268,32006
150095,202112,6638,17443,5855,16494,385,594,5050,14877,5435,15471
150100,202112,3043,10249,2691,9675,265,746,2040,7665,2305,8411
150110,202112,4484,17932,4171,17581,169,737,3850,16383,4019,17120
150120,202112,8540,25762,8056,25194,277,609,7157,23124,7434,23733
150125,202112,831,2038,604,1736,99,343,372,1045,471,1388
150130,202112,24338,66968,20801,61587,4189,11022,12264,39617,16453,50639
150140,202112,289718,635920,244237,574834,38690,84129,139207,343034,177897,427163
150145,202112,4569,13807,3819,12625,1159,3656,1553,6010,2712,9666
150150,202112,18412,44013,15926,40923,1025,2519,12877,33315,13902,35834
150157,202112,3924,10226,3111,9161,370,987,2098,6538,2468,7525
150160,202112,3559,9349,3294,8969,473,1113,2286,6410,2759,7523
150170,202112,27317,82263,23965,76716,4605,13331,14282,49378,18887,62709
150172,202112,5584,14355,4490,12856,336,749,3333,9998,3669,10747
150175,202112,1798,5348,1478,4782,248,815,873,2873,1121,3688
150178,202112,11474,28898,9345,26479,489,790,8013,23637,8502,24427
150180,202112,24622,80124,22305,77517,1578,3404,19204,69751,20782,73155
150190,202112,7346,22763,6816,22120,190,683,6200,20142,6390,20825
150195,202112,5684,16976,5320,16438,203,638,4774,14761,4977,15399
150200,202112,6223,17694,5675,17088,46,106,5380,16306,5426,16412
150210,202112,29518,95100,27622,92723,1473,4091,23331,81070,24804,85161
150215,202112,9573,25993,8263,23988,1438,4107,4784,14290,6222,18397
150220,202112,13773,36823,12032,34383,1164,2883,8337,24592,9501,27475
150230,202112,13941,37507,12321,35330,1500,3591,8245,25116,9745,28707
150240,202112,36431,95792,30214,85397,7197,20940,11593,32502,18790,53442
150250,202112,4498,16429,4187,16083,579,2179,3311,13020,3890,15199
150260,202112,2818,8693,2518,8248,130,352,2050,6834,2180,7186
150270,202112,9847,26772,6901,21490,2084,6906,1504,5026,3588,11932
150275,202112,7318,22090,6649,21169,229,717,5781,18427,6010,19144
150276,202112,2558,6503,2191,6053,290,658,1410,4451,1700,5109
150277,202112,5566,13785,4407,12450,487,1258,3139,9491,3626,10749
150280,202112,7480,28493,7211,28069,397,1440,6290,24848,6687,26288
150285,202112,3468,11833,3026,11137,217,786,2245,8465,2462,9251
150290,202112,11564,29679,10465,28507,459,726,9331,26332,9790,27058
150293,202112,10147,23881,7868,20944,1264,3163,4669,13176,5933,16339
150295,202112,8131,20830,5775,17584,1852,6042,1701,6183,3553,12225
150300,202112,2571,7267,2329,6973,30,85,2161,6512,2191,6597
150304,202112,4706,13080,3885,11813,630,1689,2489,8105,3119,9794
150307,202112,6359,19446,5795,18525,306,828,4588,14888,4894,15716
150309,202112,7081,19650,5679,17325,893,2606,3301,10579,4194,13185
150310,202112,7887,29919,7477,29425,191,904,6663,26518,6854,27422
150320,202112,9698,25654,8816,24386,424,1139,6849,18925,7273,20064
150330,202112,14816,44892,13664,43176,1779,4907,9662,32337,11441,37244
150340,202112,2661,7536,2337,7063,339,910,1594,5024,1933,5934
150345,202112,9327,25043,8328,23746,442,1227,7165,20552,7607,21779
150350,202112,9819,23712,8955,22612,821,1396,7313,19180,8134,20576
150360,202112,25549,67379,20317,60843,2320,4955,14095,46136,16415,51091
150370,202112,12154,34391,9881,31324,1313,3361,6822,23720,8135,27081
150375,202112,4005,15638,3640,15133,225,982,3158,13280,3383,14262
150380,202112,11809,28748,9667,25944,130,395,8542,22897,8672,23292
150390,202112,7958,30974,7088,29628,1128,3858,4982,22442,6110,26300
150400,202112,6994,24088,6700,23564,216,673,5958,21100,6174,21773
150405,202112,9764,24649,8487,23136,559,1014,6825,19366,7384,20380
150410,202112,2118,6230,1804,5710,276,697,1137,3834,1413,4531
150420,202112,43620,115109,33433,100258,8613,26583,11995,41874,20608,68457
150430,202112,8833,24657,8011,23615,983,1918,6176,19346,7159,21264
150440,202112,6219,18277,5619,17470,925,2431,3757,12509,4682,14940
150442,202112,30553,67703,25349,61410,2526,5635,18165,44740,20691,50375
150445,202112,7130,20412,6237,19110,230,643,5443,16767,5673,17410
150450,202112,5583,22348,5163,21797,394,1891,4364,18415,4758,20306
150460,202112,9016,28287,8206,27272,226,739,7059,24366,7285,25105
150470,202112,22491,56957,20130,54277,324,873,19013,51215,19337,52088
150475,202112,5602,16552,4750,15266,810,2263,3126,10679,3936,12942
150480,202112,14717,44493,13169,42251,2543,6694,8654,30334,11197,37028
150490,202112,8987,30011,8175,28971,460,1361,6878,24939,7338,26300
150495,202112,5898,18551,5595,18150,127,468,5093,16539,5220,17007
150497,202112,2973,9022,2370,7977,509,1725,1225,4444,1734,6169
150500,202112,3525,8656,3105,8042,316,727,2323,6031,2639,6758
150503,202112,5341,13228,3694,11081,1035,3276,1172,4041,2207,7317
150506,202112,11884,33127,9924,30458,2071,5672,6026,20566,8097,26238
150510,202112,11240,36915,9729,34245,1388,4204,6489,24209,7877,28413
150520,202112,8220,29560,7888,29156,142,741,7268,26785,7410,27526
150530,202112,13269,43156,11427,40487,1461,3912,8210,31198,9671,35110
150540,202112,5455,13880,4667,12721,322,741,3840,10558,4162,11299
150543,202112,7536,19762,6171,18068,472,1310,4765,14645,5237,15955
150548,202112,10868,32755,9747,31210,234,766,8691,28000,8925,28766
150549,202112,2110,5883,1789,5431,59,176,1476,4529,1535,4705
150550,202112,22443,63133,18461,56703,4947,15216,6976,23217,11923,38433
150553,202112,37816,100255,29133,85268,7973,23453,11175,34086,19148,57539
150555,202112,2131,5380,1660,4645,191,412,1082,3243,1273,3655
150560,202112,2051,5806,1810,5350,302,804,1046,3268,1348,4072
150563,202112,2806,8043,2293,7155,467,1486,1236,3935,1703,5421
150565,202112,4807,14788,4275,13960,91,366,3596,11828,3687,12194
150570,202112,7015,20612,6529,19970,477,1160,5460,17130,5937,18290
150580,202112,11243,42201,9552,40330,575,2705,7487,33636,8062,36341
150590,202112,8631,28833,7374,27338,133,768,6772,25053,6905,25821
150600,202112,10650,32901,9865,31949,230,769,9129,29718,9359,30487
150610,202112,3219,8593,2861,8041,135,378,2400,6727,2535,7105
150611,202112,3563,9364,3160,8818,103,298,2807,7823,2910,8121
150613,202112,15200,39711,11520,33683,2050,6311,5790,16774,7840,23085
150616,202112,4014,10723,2903,8815,637,1970,1200,3696,1837,5666
150618,202112,7559,20729,6136,18550,651,1919,3797,12050,4448,13969
150619,202112,7297,19206,5993,17434,344,731,4944,14749,5288,15480
150620,202112,7154,23047,6147,21365,722,2246,4074,14754,4796,17000
150630,202112,7020,17724,6395,16977,326,673,5576,14993,5902,15666
150635,202112,5529,14415,4600,12900,641,1666,2904,8345,3545,10011
150640,202112,2334,6772,2123,6504,38,109,1977,6109,2015,6218
150650,202112,12452,32626,10726,29908,3010,8072,4531,13946,7541,22018
150655,202112,5866,16458,5298,15628,234,610,4571,13577,4805,14187
150658,202112,4947,13613,3684,11514,776,2480,1732,5695,2508,8175
150660,202112,6210,16842,5474,15806,779,2071,3566,10601,4345,12672
150670,202112,9973,21454,7869,19056,779,1397,6267,16059,7046,17456
150680,202112,75681,210512,58563,183886,14117,42613,25074,90206,39191,132819
150690,202112,2969,6993,2544,6513,151,282,2165,5739,2316,6021
150700,202112,6703,18928,5988,18019,468,963,4684,14771,5152,15734
150710,202112,3921,12709,3540,12112,317,954,2631,9291,2948,10245
150715,202112,5541,14750,4539,13269,321,805,3629,10794,3950,11599
150720,202112,7396,24440,6860,23654,487,1493,5607,19911,6094,21404
150730,202112,13969,39947,11856,36846,1416,4456,8538,27262,9954,31718
150740,202112,4343,11512,3789,10655,357,808,2803,8160,3160,8968
150745,202112,5531,14969,4462,13436,613,1885,3135,9606,3748,11491
150746,202112,1871,5220,1689,4964,84,189,1405,4187,1489,4376
150747,202112,5426,15686,4779,14712,738,1849,3254,10684,3992,12533
150750,202112,4022,11806,3283,10677,247,809,2434,8238,2681,9047
150760,202112,12408,35186,11169,33466,1779,4680,7529,23712,9308,28392
150770,202112,7105,23865,6597,23297,272,546,5921,21857,6193,22403
150775,202112,1172,2972,905,2627,122,373,594,1749,716,2122
150780,202112,4679,14028,4137,13386,148,376,3725,12405,3873,12781
150790,202112,6477,17043,5528,16025,366,862,3855,13248,4221,14110
150795,202112,15627,45238,13455,41970,3108,9146,7563,25120,10671,34266
150796,202112,4178,9598,3621,8961,273,509,2992,7655,3265,8164
150797,202112,4469,12948,3836,12067,229,511,3121,10212,3350,10723
150800,202112,14159,42664,12661,40713,1643,4742,9193,30949,10836,35691
150803,202112,8066,23389,7474,22522,492,1150,6329,19501,6821,20651
150805,202112,3765,11026,3181,10195,283,812,2397,7939,2680,8751
150808,202112,6818,18876,4994,15855,1739,6150,687,2517,2426,8667
150810,202112,22609,55966,16988,49217,3480,10260,8269,27196,11749,37456
150812,202112,6080,16062,5362,14930,459,1353,4082,11151,4541,12504
150815,202112,10432,29054,8695,27009,782,2286,6979,22247,7761,24533
150820,202112,13432,33598,11472,31205,1719,3426,8084,24188,9803,27614
150830,202112,12884,43722,11903,42545,490,1650,10056,37754,10546,39404
150835,202112,3117,9182,2695,8529,366,1140,1793,5697,2159,6837
150840,202112,8647,22795,6952,20159,1165,3627,3853,11051,5018,14678
160005,202112,1317,3394,1158,3203,63,204,990,2747,1053,2951
160010,202112,2500,6567,2330,6383,17,71,2255,6124,2272,6195
160015,202112,3309,8701,2967,8293,69,196,2762,7739,2831,7935
160020,202112,2363,6951,2046,6555,202,509,1547,5270,1749,5779
160021,202112,1324,4692,1213,4555,49,242,962,3675,1011,3917
160023,202112,1433,4741,1270,4463,225,754,779,2932,1004,3686
160025,202112,1903,5635,1788,5507,34,84,1701,5286,1735,5370
160027,202112,9307,25060,8301,23788,702,1833,6641,19425,7343,21258
160030,202112,83256,223005,67561,202064,14687,40381,34578,115807,49265,156188
160040,202112,6222,20139,5660,19435,121,375,5262,18266,5383,18641
160050,202112,5389,15313,4225,13801,1474,4467,1562,6562,3036,11029
160053,202112,4310,12396,3838,11807,325,828,3027,9834,3352,10662
160055,202112,1059,2774,1025,2737,26,46,952,2575,978,2621
160060,202112,28588,69812,23573,64166,1761,4232,18125,52212,19886,56444
160070,202112,2990,10560,2618,9997,246,818,1984,8044,2230,8862
160080,202112,3542,10637,3107,10149,22,116,2935,9633,2957,9749
170025,202112,703,1762,496,1437,99,267,231,724,330,991
170030,202112,1318,3821,1032,3335,180,547,432,1466,612,2013
170035,202112,1577,3940,1160,3299,87,260,741,2078,828,2338
170040,202112,2025,5395,1618,4820,110,338,1034,3174,1144,3512
170070,202112,2030,4591,1445,3856,95,259,851,2402,946,2661
170100,202112,2564,7100,2116,6368,295,735,1237,3955,1532,4690
170105,202112,760,2117,524,1627,148,426,145,452,293,878
170110,202112,1071,3053,832,2630,96,322,462,1401,558,1723
170130,202112,1460,4051,1081,3363,180,567,560,1761,740,2328
170190,202112,1632,4205,1232,3592,285,959,492,1404,777,2363
170200,202112,2236,5108,1484,3910,236,612,591,1572,827,2184
170210,202112,28252,73685,21375,62347,6044,19289,3375,10376,9419,29665
170215,202112,1424,3682,1137,3282,45,161,898,2586,943,2747
170220,202112,6307,18683,5226,16749,1543,4808,1647,6183,3190,10991
170230,202112,1327,3723,979,3050,282,888,172,586,454,1474
170240,202112,2779,7421,2223,6536,167,506,1588,4583,1755,5089
170255,202112,4180,11573,3023,9577,676,2076,1210,4030,1886,6106
170270,202112,980,2332,665,1874,69,185,366,1038,435,1223
170290,202112,3138,8791,2725,8254,178,430,2124,6708,2302,7138
170300,202112,2198,5588,1781,4972,221,524,1189,3421,1410,3945
170305,202112,713,1876,603,1696,84,242,309,898,393,1140
170307,202112,1079,3365,884,3010,103,339,526,1815,629,2154
170310,202112,1696,4099,1209,3343,174,489,590,1668,764,2157
170320,202112,1120,2836,841,2384,80,230,520,1513,600,1743
170330,202112,949,2810,857,2677,42,173,711,2169,753,2342
170360,202112,594,1505,425,1229,22,83,294,797,316,880
170370,202112,1374,3469,992,2836,216,602,358,1052,574,1654
170380,202112,1979,5432,1511,4720,111,321,868,2855,979,3176
170382,202112,574,1629,474,1462,23,100,360,1070,383,1170
170384,202112,1776,5868,1452,5268,324,1096,690,2671,1014,3767
170386,202112,1055,2802,664,2057,76,270,247,726,323,996
170388,202112,770,2016,528,1598,78,253,234,686,312,939
170389,202112,1075,3212,879,2877,65,227,614,2054,679,2281
170390,202112,1911,4151,1443,3597,32,80,1225,3113,1257,3193
170410,202112,650,1723,465,1404,23,80,311,906,334,986
170460,202112,418,1086,346,975,42,120,227,644,269,764
170510,202112,984,2648,714,2188,42,144,441,1259,483,1403
170550,202112,7095,18164,5231,15229,1468,4499,1061,3336,2529,7835
170555,202112,1487,3856,1175,3377,116,286,550,1706,666,1992
170560,202112,1099,2953,842,2592,87,238,499,1650,586,1888
170600,202112,1427,3658,1129,3242,316,779,488,1575,804,2354
170610,202112,1731,4357,1282,3688,90,271,793,2245,883,2516
170625,202112,469,1205,316,912,40,106,124,343,164,449
170650,202112,1359,3831,1089,3393,140,414,647,2076,787,2490
170700,202112,3703,10546,2802,8823,565,1780,1157,3685,1722,5465
170710,202112,1625,4022,1260,3456,190,494,759,2137,949,2631
170720,202112,1865,4494,1428,3808,302,779,727,1998,1029,2777
170730,202112,1160,2992,866,2530,136,316,466,1452,602,1768
170740,202112,2209,6984,1897,6422,171,627,1355,4567,1526,5194
170755,202112,933,2448,657,1994,96,309,263,794,359,1103
170765,202112,1207,3018,855,2470,158,445,372,1120,530,1565
170770,202112,1992,5429,1609,4849,156,482,1106,3349,1262,3831
170820,202112,3804,10805,2941,9293,608,1895,1300,4316,1908,6211
170825,202112,1079,2413,885,2166,100,216,641,1582,741,1798
170830,202112,1450,3717,1166,3279,341,928,526,1532,867,2460
170900,202112,2943,8816,2485,8166,239,640,1920,6536,2159,7176
170930,202112,4033,10704,3059,8902,697,2135,872,2559,1569,4694
170950,202112,12075,32359,8411,25791,2124,7481,872,2942,2996,10423
170980,202112,515,1309,390,1115,71,208,199,549,270,757
171050,202112,1747,5298,1519,4917,53,213,1256,4057,1309,4270
171070,202112,1437,3910,1228,3606,326,881,535,1894,861,2775
171090,202112,1123,2765,879,2417,132,372,492,1337,624,1709
171110,202112,612,1582,419,1237,88,247,170,464,258,711
171150,202112,1168,2750,732,2026,75,222,443,1204,518,1426
171180,202112,834,2170,555,1655,100,274,237,724,337,998
171190,202112,2083,6481,1790,5978,283,973,1085,3732,1368,4705
171195,202112,850,2593,669,2252,74,293,425,1393,499,1686
171200,202112,635,1723,471,1455,115,388,163,491,278,879
171215,202112,414,1086,334,959,29,89,212,590,241,679
171240,202112,839,2633,668,2329,27,143,458,1558,485,1701
171245,202112,826,2249,648,1912,58,176,408,1160,466,1336
171250,202112,1066,2782,768,2324,141,450,348,1071,489,1521
171270,202112,521,1751,407,1504,88,324,169,679,257,1003
171280,202112,936,2702,749,2375,71,212,452,1491,523,1703
171320,202112,4296,11603,3354,9991,674,1855,1275,4075,1949,5930
171330,202112,2972,7928,2287,6714,569,1638,935,2884,1504,4522
171360,202112,1575,4258,1239,3771,111,313,836,2721,947,3034
171370,202112,765,1825,591,1584,53,140,418,1119,471,1259
171380,202112,1596,4197,1341,3854,162,406,896,2776,1058,3182
171395,202112,1106,2806,761,2207,67,198,505,1411,572,1609
171420,202112,2121,5846,1576,4813,289,840,693,2172,982,3012
171430,202112,1143,3198,962,2877,52,155,660,1907,712,2062
171488,202112,2569,7084,2051,6262,358,1108,1102,3408,1460,4516
171500,202112,1007,2471,745,2070,72,187,481,1339,553,1526
171510,202112,862,2665,746,2451,46,170,543,1772,589,1942
171515,202112,521,1267,395,1084,42,123,238,608,280,731
171525,202112,763,2023,575,1725,40,138,366,1059,406,1197
171550,202112,365,1023,283,894,40,148,152,453,192,601
171570,202112,1198,3450,1008,3117,150,443,570,1846,720,2289
171575,202112,1828,4789,1185,3660,134,419,526,1627,660,2046
171610,202112,6216,16773,4579,13989,916,3187,1048,3521,1964,6708
171620,202112,2826,7570,2395,6957,104,381,1981,5724,2085,6105
171630,202112,1115,2746,862,2410,92,248,592,1714,684,1962
171650,202112,2268,6182,1750,5332,399,1304,487,1673,886,2977
171660,202112,2510,6114,1747,4875,215,535,1023,2900,1238,3435
171665,202112,1306,3569,1030,3127,202,652,465,1441,667,2093
171670,202112,2044,5278,1530,4429,244,741,711,2073,955,2814
171700,202112,1267,3456,925,2839,108,312,512,1588,620,1900
171720,202112,828,2065,646,1789,54,145,463,1279,517,1424
